   1.9000000e+03   5.7400000e+01   5.7600000e+01   5.9200000e+01   5.6700000e+01   6.0800000e+01   6.4000000e+01   6.7300000e+01   6.5800000e+01   6.5300000e+01   6.2800000e+01   6.4000000e+01   5.9700000e+01
   1.9010000e+03   5.5800000e+01   5.7400000e+01   6.0100000e+01   5.7400000e+01   5.9900000e+01   6.2200000e+01   6.5500000e+01   6.7800000e+01   6.4600000e+01   6.2400000e+01   6.0300000e+01   5.7200000e+01
   1.9020000e+03   5.5900000e+01   5.4700000e+01   5.4900000e+01   5.7000000e+01   6.0100000e+01   6.1900000e+01   6.4900000e+01   6.6400000e+01   6.5800000e+01   6.2200000e+01   5.7700000e+01   5.5200000e+01
   1.9030000e+03   5.6500000e+01   5.2200000e+01   5.7600000e+01   5.8300000e+01   6.0400000e+01   6.3000000e+01   6.5800000e+01   6.8000000e+01   6.7600000e+01   6.3100000e+01   6.1000000e+01   5.7200000e+01
   1.9040000e+03   5.5200000e+01   5.4500000e+01   5.6500000e+01   5.8800000e+01   6.0400000e+01   6.4200000e+01   6.6400000e+01   7.0500000e+01   7.0000000e+01   6.6600000e+01   6.3700000e+01   5.8300000e+01
   1.9050000e+03   5.7700000e+01   5.8800000e+01   5.9500000e+01   5.9000000e+01   5.9700000e+01   6.2400000e+01   6.4800000e+01   6.6900000e+01   6.6000000e+01   6.3500000e+01   5.8600000e+01   5.5400000e+01
   1.9060000e+03   5.4100000e+01   5.7900000e+01   5.7700000e+01   5.8100000e+01   5.9900000e+01   6.4600000e+01   6.8400000e+01   6.8200000e+01   6.7800000e+01   6.5100000e+01   5.7600000e+01   5.5800000e+01
   1.9070000e+03   5.2300000e+01   6.0100000e+01   5.6700000e+01   5.9400000e+01   6.0600000e+01   6.2600000e+01   6.7600000e+01   6.6700000e+01   6.4800000e+01   6.4600000e+01   6.0600000e+01   5.7200000e+01
   1.9080000e+03   5.6500000e+01   5.4000000e+01   5.6800000e+01   5.9400000e+01   5.7400000e+01   5.9700000e+01   6.6400000e+01   6.7600000e+01   6.6400000e+01   6.1300000e+01   5.7200000e+01   5.3200000e+01
   1.9090000e+03   5.3800000e+01   5.4100000e+01   5.4500000e+01   5.8800000e+01   5.9700000e+01   6.2200000e+01   6.4800000e+01   6.8200000e+01   6.6400000e+01   6.3500000e+01   5.6700000e+01   5.3200000e+01
