 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000            1000               0               0               1          4.8840;
     1    0.009            1000              15               0               1          0.4945;
     2    0.018            1000              43               0               1          0.7521;
     3    0.027            1000              78               1               1          0.3376;
     4    0.035            1000             115               4               3          0.3498;
     5    0.044            1000             148               9               8          0.5580;
     6    0.053            1000             180              17              16          0.3816;
     7    0.062            1000             206              27              26          0.5690;
     8    0.071            1000             228              42              41          0.6514;
     9    0.080            1000             247              60              59          0.7643;
    10    0.089            1000             263              82              81          0.7155;
    11    0.097            1000             278             107             105          0.6392;
    12    0.106            1000             293             135             134          0.8260;
    13    0.115            1000             309             167             165          0.5684;
    14    0.124            1000             326             202             199          0.7247;
    15    0.133            1000             344             238             235          0.5891;
    16    0.142            1000             363             277             273          0.5757;
    17    0.151            1000             383             318             313          0.5476;
    18    0.159            1000             406             359             356          0.3779;
    19    0.168            1000             429             401             397          0.4841;
    20    0.177            1000             454             443             439          0.2277;
    21    0.186            1000             479             486             482          0.3858;
    22    0.195            1000             506             528             524          0.2241;
    23    0.204            1000             532             570             565          0.3523;
    24    0.213            1000             559             610             606          0.2442;
    25    0.221            1000             586             650             646          0.1905;
    26    0.230            1000             614             687             682          0.1508;
    27    0.239            1000             642             723             720          0.1093;
    28    0.248            1000             670             758             755          0.0537;
    29    0.257            1000             699             790             785          0.0659;
    30    0.266            1000             728             820             816          0.0366;
    31    0.274            1000             756             848             845          0.0208;
    32    0.283            1000             783             874             870          0.0617;
    33    0.292            1000             808             898             894          0.1447;
    34    0.301            1000             833             920             916          0.0775;
    35    0.310            1000             856             940             935          0.0940;
    36    0.319            1000             877             958             953          0.0989;
    37    0.328            1000             897             974             969          0.0775;
    38    0.336            1000             915             988             984          0.1679;
    39    0.345            1000             932            1001             997          0.1215;
    40    0.354            1000             948            1012            1008          0.1728;
    41    0.363            1000             962            1021            1017          0.0458;
    42    0.372            1000             976            1029            1025          0.0714;
    43    0.381            1000             989            1036            1032          0.1947;
    44    0.390            1000            1001            1042            1037          0.1813;
    45    0.398            1000            1011            1046            1042          0.2796;
    46    0.407            1000            1020            1049            1045          0.1587;
    47    0.416            1000            1027            1052            1048          0.2741;
    48    0.425            1000            1032            1054            1050          0.2265;
    49    0.434            1000            1035            1055            1052          0.2772;
    50    0.443            1000            1038            1056            1052          0.2869;
    51    0.452            1000            1039            1056            1053          0.2985;
    52    0.460            1000            1040            1055            1053          0.3382;
    53    0.469            1000            1041            1054            1051          0.3089;
    54    0.478            1000            1042            1053            1050          0.3071;
    55    0.487            1000            1042            1051            1049          0.3339;
    56    0.496            1000            1042            1048            1047          0.3333;
    57    0.505            1000            1042            1046            1045          0.3327;
    58    0.514            1000            1042            1043            1043          0.3321;
    59    0.522            1000            1042            1040            1041          0.3315;
    60    0.531            1000            1041            1037            1038          0.3327;
    61    0.540            1000            1041            1034            1036          0.3321;
    62    0.549            1000            1040            1031            1033          0.3462;
    63    0.558            1000            1040            1028            1031          0.3327;
    64    0.567            1000            1039            1026            1028          0.3462;
    65    0.576            1000            1038            1023            1026          0.3468;
    66    0.584            1000            1038            1021            1024          0.3333;
    67    0.593            1000            1037            1019            1022          0.3468;
    68    0.602            1000            1036            1017            1020          0.3614;
    69    0.611            1000            1036            1016            1019          0.3339;
    70    0.620            1000            1035            1015            1018          0.3474;
    71    0.629            1000            1035            1014            1017          0.3474;
    72    0.638            1000            1034            1014            1017          0.3474;
    73    0.646            1000            1034            1014            1017          0.3480;
    74    0.655            1000            1034            1015            1017          0.3333;
    75    0.664            1000            1034            1016            1018          0.3327;
    76    0.673            1000            1034            1017            1019          0.3327;
    77    0.682            1000            1034            1018            1020          0.3321;
    78    0.691            1000            1034            1020            1021          0.3315;
    79    0.699            1000            1035            1022            1022          0.3291;
    80    0.708            1000            1035            1024            1024          0.3284;
    81    0.717            1000            1035            1026            1025          0.3284;
    82    0.726            1000            1035            1028            1027          0.3278;
    83    0.735            1000            1036            1030            1029          0.1050;
    84    0.744            1000            1036            1033            1030          0.3254;
    85    0.753            1000            1037            1034            1032          0.2137;
    86    0.761            1000            1037            1036            1034          0.3095;
    87    0.770            1000            1038            1038            1036          0.3077;
    88    0.779            1000            1038            1039            1037          0.3065;
    89    0.788            1000            1038            1041            1038          0.3199;
    90    0.797            1000            1038            1042            1039          0.3193;
    91    0.806            1000            1038            1042            1040          0.3187;
    92    0.815            1000            1039            1043            1040          0.3040;
    93    0.823            1000            1039            1043            1040          0.3168;
    94    0.832            1000            1040            1042            1040          0.1917;
    95    0.841            1000            1039            1042            1039          0.5366;
    96    0.850            1000            1040            1042            1039          0.0928;
    97    0.859            1000            1039            1041            1039          0.3144;
    98    0.868            1000            1039            1039            1038          0.3138;
    99    0.877            1000            1039            1038            1037          0.3132;
   100    0.885            1000            1038            1037            1036          0.3132;
   101    0.894            1000            1038            1035            1035          0.3132;
   102    0.903            1000            1038            1034            1034          0.3126;
   103    0.912            1000            1038            1032            1033          0.3120;
   104    0.921            1000            1037            1030            1032          0.3126;
   105    0.930            1000            1037            1029            1030          0.3120;
   106    0.939            1000            1036            1027            1029          0.3266;
   107    0.947            1000            1036            1026            1028          0.3266;
   108    0.956            1000            1036            1025            1027          0.3126;
   109    0.965            1000            1036            1024            1026          0.3120;
   110    0.974            1000            1036            1023            1025          0.3114;
   111    0.983            1000            1035            1022            1025          0.3107;
   112    0.992            1000            1034            1022            1024          0.3254;
   113    1.001            1000            1034            1022            1024          0.3254;
   114    1.009            1000            1034            1022            1024          0.3114;
   115    1.018            1000            1034            1022            1024          0.3114;
   116    1.027            1000            1034            1022            1024          0.3107;
   117    1.036            1000            1034            1022            1024          0.3101;
   118    1.045            1000            1034            1023            1025          0.3095;
   119    1.054            1000            1034            1024            1025          0.3089;
   120    1.063            1000            1034            1025            1026          0.3083;
   121    1.071            1000            1034            1026            1027          0.3083;
   122    1.080            1000            1035            1027            1028          0.3059;
   123    1.089            1000            1035            1028            1028          0.0842;
   124    1.098            1000            1035            1030            1029          0.3046;
   125    1.107            1000            1035            1031            1030          0.3040;
   126    1.116            1000            1035            1032            1031          0.3040;
   127    1.124            1000            1035            1033            1032          0.3034;
   128    1.133            1000            1036            1034            1032          0.3016;
   129    1.142            1000            1036            1034            1033          0.3010;
   130    1.151            1000            1036            1035            1033          0.3004;
   131    1.160            1000            1036            1035            1034          0.2998;
   132    1.169            1000            1036            1036            1034          0.2991;
   133    1.178            1000            1036            1036            1034          0.2985;
   134    1.186            1000            1036            1036            1035          0.2979;
   135    1.195            1000            1036            1035            1035          0.2979;
