 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000            1000              -1               0               0          4.8840;
     1    0.009            1000               6               1               0          0.4621;
     2    0.018            1000              20               1               0          0.6673;
     3    0.027            1000              37               1               2          0.9780;
     4    0.035            1000              58               2               2          1.0372;
     5    0.044            1000              86               5               2          0.1899;
     6    0.053            1000             115               9               6          0.1966;
     7    0.062            1000             142              15              11          0.7161;
     8    0.071            1000             169              23              19          0.6416;
     9    0.080            1000             197              34              29          0.1783;
    10    0.089            1000             225              49              43          0.2680;
    11    0.097            1000             249              67              61          0.6239;
    12    0.106            1000             271              88              81          0.6221;
    13    0.115            1000             294             112             105          0.3022;
    14    0.124            1000             315             140             132          0.3571;
    15    0.133            1000             332             172             164          0.7192;
    16    0.142            1000             349             206             198          0.6264;
    17    0.151            1000             366             243             235          0.3675;
    18    0.159            1000             383             282             274          0.3700;
    19    0.168            1000             399             322             314          0.7057;
    20    0.177            1000             415             364             356          0.8199;
    21    0.186            1000             434             407             399          0.1429;
    22    0.195            1000             455             450             440          0.1966;
    23    0.204            1000             474             492             482          0.6233;
    24    0.213            1000             494             534             523          0.7454;
    25    0.221            1000             517             574             564          0.2143;
    26    0.230            1000             543             613             606          0.0263;
    27    0.239            1000             567             651             641          0.2656;
    28    0.248            1000             593             686             676          0.1996;
    29    0.257            1000             619             719             710          0.2717;
    30    0.266            1000             647             749             740          0.1337;
    31    0.274            1000             676             777             767          0.0641;
    32    0.283            1000             705             803             794         -0.1178;
    33    0.292            1000             733             826             816         -0.0079;
    34    0.301            1000             760             847             837          0.0189;
    35    0.310            1000             787             866             856         -0.0653;
    36    0.319            1000             813             883             872         -0.1062;
    37    0.328            1000             837             898             887          0.0336;
    38    0.336            1000             860             911             901         -0.0317;
    39    0.345            1000             882             923             912         -0.1111;
    40    0.354            1000             902             934             923          0.0055;
    41    0.363            1000             919             944             933          0.0965;
    42    0.372            1000             936             952             942         -0.0043;
    43    0.381            1000             951             960             950         -0.0220;
