 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos   Control Effort

[    0    0.000            1000               0              -0              -1          4.8840;
     1    0.009            1000               7              -0              -1          0.5928;
     2    0.018            1000              23              -0              -1          0.5195;
     3    0.027            1000              42               1              -1          0.8144;
     4    0.035            1000              66               2               1          0.7869;
     5    0.044            1000              94               5               3          0.3535;
     6    0.053            1000             123               9               6          0.2491;
     7    0.062            1000             151              16              12          0.5049;
     8    0.071            1000             178              25              20          0.6239;
     9    0.080            1000             204              38              32          0.4261;
    10    0.089            1000             228              53              47          0.3822;
    11    0.097            1000             249              72              65          0.6172;
    12    0.106            1000             268              94              87          0.7295;
    13    0.115            1000             286             120             112          0.5256;
    14    0.124            1000             304             148             140          0.3773;
    15    0.133            1000             320             180             171          0.6306;
    16    0.142            1000             336             214             204          0.7326;
    17    0.151            1000             352             250             240          0.5983;
    18    0.159            1000             370             288             278          0.3657;
    19    0.168            1000             388             327             318          0.6581;
    20    0.177            1000             406             368             358          0.6459;
    21    0.186            1000             426             409             399          0.2717;
    22    0.195            1000             447             449             440          0.2827;
    23    0.204            1000             469             490             479          0.5275;
    24    0.213            1000             491             529             519          0.4676;
    25    0.221            1000             515             568             558          0.2393;
    26    0.230            1000             540             605             595          0.2302;
    27    0.239            1000             566             641             630          0.2076;
    28    0.248            1000             591             675             665          0.2668;
    29    0.257            1000             617             707             696          0.2558;
    30    0.266            1000             644             736             726          0.1600;
    31    0.274            1000             672             764             754         -0.0189;
    32    0.283            1000             700             789             778          0.0085;
    33    0.292            1000             727             812             802          0.0910;
    34    0.301            1000             753             833             824          0.0641;
    35    0.310            1000             779             852             842         -0.0324;
    36    0.319            1000             804             870             859          0.0794;
    37    0.328            1000             827             885             876          0.2070;
    38    0.336            1000             850             900             889         -0.1209;
    39    0.345            1000             871             913             901          0.0085;
    40    0.354            1000             889             924             914          0.1685;
    41    0.363            1000             906             935             924          0.0531;
    42    0.372            1000             922             945             934         -0.0061;
    43    0.381            1000             936             953             943          0.0336;
    44    0.390            1000             950             961             951          0.1294;
    45    0.398            1000             961             969             959          0.2411;
    46    0.407            1000             972             976             966          0.1740;
    47    0.416            1000             981             983             972          0.2045;
    48    0.425            1000             990             989             979          0.0702;
    49    0.434            1000             997             995             984          0.2002;
    50    0.443            1000            1002            1001             991          0.3175;
    51    0.452            1000            1007            1006             995          0.2155;
    52    0.460            1000            1011            1011            1001          0.2527;
    53    0.469            1000            1014            1016            1005          0.2485;
    54    0.478            1000            1016            1020            1009          0.2601;
    55    0.487            1000            1017            1024            1013          0.2717;
    56    0.496            1000            1018            1027            1017          0.3114;
    57    0.505            1000            1019            1029            1019          0.2967;
    58    0.514            1000            1020            1032            1021          0.2955;
    59    0.522            1000            1020            1033            1023          0.2943;
    60    0.531            1000            1020            1035            1024          0.3077;
    61    0.540            1000            1021            1035            1025          0.2937;
    62    0.549            1000            1021            1034            1025          0.2930;
    63    0.558            1000            1022            1034            1024          0.3053;
    64    0.567            1000            1022            1032            1023          0.3046;
    65    0.576            1000            1022            1030            1022          0.3040;
    66    0.584            1000            1022            1028            1020          0.3034;
    67    0.593            1000            1022            1025            1019          0.3034;
    68    0.602            1000            1022            1022            1016          0.3028;
    69    0.611            1000            1021            1019            1013          0.3046;
    70    0.620            1000            1021            1015            1010          0.3040;
    71    0.629            1000            1020            1012            1007          0.5256;
    72    0.638            1000            1020            1008            1004          0.3046;
    73    0.646            1000            1019            1004            1001          0.3193;
    74    0.655            1000            1018            1001             997          0.3199;
    75    0.664            1000            1017             998             995          0.3205;
    76    0.673            1000            1016             995             992          0.3358;
    77    0.682            1000            1015             992             989          0.3223;
    78    0.691            1000            1014             990             987          0.3370;
    79    0.699            1000            1014             988             985          0.3101;
    80    0.708            1000            1013             986             983          0.3248;
    81    0.717            1000            1012             985             982          0.3126;
    82    0.726            1000            1011             984             981          0.3266;
    83    0.735            1000            1010             984             981          0.3272;
    84    0.744            1000            1010             983             981          0.3278;
    85    0.753            1000            1010             984             981          0.3138;
    86    0.761            1000            1009             984             981          0.3144;
    87    0.770            1000            1009             985             982          0.3150;
    88    0.779            1000            1009             987             983          0.3150;
    89    0.788            1000            1009             989             984          0.3144;
    90    0.797            1000            1009             990             985          0.3144;
    91    0.806            1000            1010             992             987          0.3126;
    92    0.815            1000            1010             994             988          0.3126;
    93    0.823            1000            1010             997             990          0.3120;
    94    0.832            1000            1011             999             992          0.2973;
    95    0.841            1000            1011            1001             993          0.2973;
    96    0.850            1000            1012            1003             995          0.2955;
    97    0.859            1000            1012            1005             997          0.3089;
    98    0.868            1000            1013            1007             999          0.2943;
    99    0.877            1000            1014            1009            1000          0.2790;
   100    0.885            1000            1014            1011            1002          0.2918;
   101    0.894            1000            1014            1012            1003          0.3053;
   102    0.903            1000            1015            1013            1004          0.3053;
   103    0.912            1000            1015            1014            1005          0.3046;
   104    0.921            1000            1016            1014            1005          0.2900;
   105    0.930            1000            1016            1015            1005          0.3028;
   106    0.939            1000            1016            1015            1005          0.3022;
   107    0.947            1000            1016            1015            1005          0.3016;
   108    0.956            1000            1016            1013            1005          0.3016;
   109    0.965            1000            1016            1013            1005          0.3010;
   110    0.974            1000            1016            1012            1004          0.3010;
   111    0.983            1000            1016            1011            1003          0.3010;
   112    0.992            1000            1016            1009            1003          0.3004;
   113    1.001            1000            1015            1008            1001          0.3016;
   114    1.009            1000            1015            1006            1000          0.3016;
   115    1.018            1000            1015            1005             999          0.3016;
   116    1.027            1000            1015            1003             998          0.3010;
   117    1.036            1000            1014            1002             997          0.3016;
   118    1.045            1000            1014            1000             996          0.3016;
   119    1.054            1000            1014             999             995          0.3016;
   120    1.063            1000            1013             998             993          0.4261;
   121    1.071            1000            1013             996             993          0.3022;
   122    1.080            1000            1013             996             992          0.3022;
   123    1.089            1000            1012             995             991          0.3168;
   124    1.098            1000            1012             994             991          0.3034;
   125    1.107            1000            1012             994             990          0.3034;
   126    1.116            1000            1012             994             990          0.3034;
   127    1.124            1000            1012             994             990          0.3028;
   128    1.133            1000            1012             994             990          0.3028;
   129    1.142            1000            1011             994             991          0.3028;
   130    1.151            1000            1011             995             991          0.3028;
   131    1.160            1000            1011             996             991          0.3168;
   132    1.169            1000            1012             997             992          0.3016;
   133    1.178            1000            1012             998             992          0.3016;
   134    1.186            1000            1012             999             993          0.3010;
   135    1.195            1000            1012            1000             994          0.3010;
   136    1.204            1000            1012            1001             995          0.3010;
   137    1.213            1000            1013            1002             996          0.2998;
   138    1.222            1000            1013            1003             996          0.2857;
   139    1.231            1000            1013            1004             997          0.2851;
